,ID,eAir,eVib,eCar,eAll,dAir,dVib,dCar,dAll
0,13.0,38.75,75.0,43.75,54.166666666666664,51.66666666666667,86.66666666666667,76.66666666666667,74.44444444444444
1,14.0,53.75,83.75,56.25,67.08333333333333,66.66666666666666,86.66666666666667,75.0,79.44444444444444
2,15.0,41.25,87.5,55.00000000000001,64.16666666666667,61.66666666666667,93.33333333333333,83.33333333333334,83.88888888888889
3,16.0,58.75,87.5,61.25000000000001,71.66666666666667,71.66666666666667,95.0,81.66666666666667,85.55555555555556
4,17.0,47.5,87.5,68.75,70.0,58.333333333333336,91.66666666666666,81.66666666666667,80.0
5,18.0,60.0,82.5,75.0,76.66666666666667,66.66666666666666,91.66666666666666,86.66666666666667,86.11111111111111
6,19.0,51.24999999999999,77.5,47.5,60.416666666666664,70.0,85.0,73.33333333333333,80.0
7,20.0,40.0,85.0,70.0,67.5,55.00000000000001,90.0,90.0,81.11111111111111
8,21.0,58.75,92.5,55.00000000000001,73.75,75.0,95.0,81.66666666666667,88.88888888888889
9,22.0,51.24999999999999,87.5,48.75,64.58333333333334,66.66666666666666,93.33333333333333,80.0,82.77777777777777
10,23.0,71.25,80.0,65.0,76.25,76.66666666666667,90.0,86.66666666666667,88.88888888888889
11,24.0,63.74999999999999,90.0,61.25000000000001,76.66666666666667,75.0,91.66666666666666,80.0,87.22222222222223
12,25.0,45.0,73.75,62.5,64.16666666666667,66.66666666666666,80.0,81.66666666666667,80.55555555555556
13,26.0,60.0,90.0,76.25,79.58333333333333,71.66666666666667,90.0,90.0,88.33333333333333
14,27.0,71.25,87.5,53.75,74.58333333333333,76.66666666666667,91.66666666666666,85.0,89.44444444444444
15,28.0,42.5,90.0,80.0,75.0,58.333333333333336,93.33333333333333,91.66666666666666,85.55555555555556
16,29.0,62.5,78.75,56.25,69.16666666666667,73.33333333333333,83.33333333333334,88.33333333333333,85.55555555555556
17,30.0,61.25000000000001,87.5,85.0,82.08333333333333,78.33333333333333,93.33333333333333,90.0,91.66666666666666
18,31.0,56.25,85.0,72.5,75.41666666666667,61.66666666666667,91.66666666666666,86.66666666666667,85.0
19,33.0,70.0,77.5,70.0,77.5,78.33333333333333,88.33333333333333,85.0,88.88888888888889
20,34.0,56.25,77.5,57.49999999999999,66.25,70.0,95.0,81.66666666666667,85.55555555555556
21,35.0,53.75,77.5,35.0,57.91666666666667,66.66666666666666,86.66666666666667,63.33333333333333,76.66666666666667
22,37.0,60.0,82.5,62.5,71.25,68.33333333333333,85.0,81.66666666666667,82.22222222222221
23,38.0,51.24999999999999,90.0,58.75,71.66666666666667,73.33333333333333,91.66666666666666,71.66666666666667,83.88888888888889
24,39.0,30.0,87.5,50.0,58.333333333333336,60.0,93.33333333333333,71.66666666666667,78.33333333333333
25,40.0,63.74999999999999,95.0,66.25,79.16666666666666,71.66666666666667,95.0,85.0,88.33333333333333
26,41.0,33.75,75.0,68.75,63.33333333333333,55.00000000000001,83.33333333333334,86.66666666666667,79.44444444444444
27,42.0,65.0,90.0,57.49999999999999,74.58333333333333,75.0,90.0,78.33333333333333,85.55555555555556
28,44.0,65.0,92.5,68.75,80.41666666666667,71.66666666666667,95.0,88.33333333333333,90.0
29,45.0,63.74999999999999,85.0,55.00000000000001,71.25,71.66666666666667,91.66666666666666,76.66666666666667,84.44444444444444
30,46.0,75.0,85.0,50.0,74.16666666666667,78.33333333333333,88.33333333333333,76.66666666666667,85.55555555555556
31,47.0,47.5,71.25,62.5,62.083333333333336,61.66666666666667,78.33333333333333,85.0,77.22222222222223
